image_sha256,filename,relative_path,class_name,canonicalizer_version,canonicalizer_callable,review_status,issue_tags,review_notes,reviewed_at_utc
4a86c5741c7a6d3d64103e8f466a383d523ba4de1c2a0cf358ee205da138dbe1,ankle_boot_001.png,ankle_boot\ankle_boot_001.png,ankle_boot,v2,src.domain_shift.canonicalizer.canonicalize_image,PASS,,,2026-09-08T01:36:23.728063+00:00
e2dfe82571cb21b97a3cb83c3752b205eacc4cd3ff106c9c71f74a1a5e8c33e8,ankle_boot_002.png,ankle_boot\ankle_boot_002.png,ankle_boot,v2,src.domain_shift.canonicalizer.canonicalize_image,PASS,,,2026-09-08T01:37:25.116858+00:00
8086ef6d22a3b8884a5f640455ad176268844dfd0edf5e6b1d2eb17d4ab69ca2,ankle_boot_003.png,ankle_boot\ankle_boot_003.png,ankle_boot,v2,src.domain_shift.canonicalizer.canonicalize_image,PASS_WITH_LIMITATIONS,thin_details_lost,,2026-09-08T01:43:50.090617+00:00
75c8aff54b96692885b5006cc51e9cc129e2a4098941c778675bec13917bbea4,ankle_boot_004.png,ankle_boot\ankle_boot_004.png,ankle_boot,v2,src.domain_shift.canonicalizer.canonicalize_image,PASS,,,2026-09-08T01:44:09.544912+00:00
63d96c6d9a9a6d6a87aacb531af4918103e1aa4489fb254b108fc59fb7deabc8,bag_001.png,bag\bag_001.png,bag,v2,src.domain_shift.canonicalizer.canonicalize_image,FAIL,aspect_ratio_distortion,,2026-09-08T01:46:37.778790+00:00
3b99b14fd41081fbc625546a4081d91f7890f6f42dcd241c37e96c68d293c876,bag_002.png,bag\bag_002.png,bag,v2,src.domain_shift.canonicalizer.canonicalize_image,FAIL,aspect_ratio_distortion,,2026-09-08T01:47:12.970347+00:00
ca364bb243156e2fc605ad87c014909864d411901667188f2bb65ef1cb629872,bag_003.png,bag\bag_003.png,bag,v2,src.domain_shift.canonicalizer.canonicalize_image,FAIL,aspect_ratio_distortion,,2026-09-08T01:47:38.608596+00:00
0c90581634c7f3f2e8435a4e5c676695b6a3f19a3476dac02fdbfd296bc04525,bag_004.png,bag\bag_004.png,bag,v2,src.domain_shift.canonicalizer.canonicalize_image,FAIL,aspect_ratio_distortion,,2026-09-08T01:47:58.954906+00:00
7a85dad547e0332ed79949120fbf23cd0ed12775a6325b1ad611761eee0e6860,coat_001.png,coat\coat_001.png,coat,v2,src.domain_shift.canonicalizer.canonicalize_image,FAIL,aspect_ratio_distortion,,2026-09-08T01:48:28.271372+00:00
81cdb204dce97f9107522ebd868c7d61dc712b2104ea23f99a4529033850f6de,coat_002.png,coat\coat_002.png,coat,v2,src.domain_shift.canonicalizer.canonicalize_image,FAIL,aspect_ratio_distortion,,2026-09-08T01:48:46.997645+00:00
